"[1, 2, 1, 1]",0
"[1, 2, 2, 1]",0
"[1, 4, 1, 1]",0
"[1, 4, 2, 1]",0
"[1, 5, 1, 1]",0
"[1, 5, 2, 1]",0
"[1, 6, 1, 1]",0
"[1, 6, 2, 1]",0
"[1, 7, 1, 1]",0
"[1, 7, 2, 1]",0
"[1, 11, 1, 1]",0
"[1, 11, 2, 1]",0
"[1, 12, 1, 1]",0
"[1, 12, 2, 1]",0
"[1, 13, 1, 1]",0
"[1, 13, 2, 1]",0
"[1, 14, 1, 1]",0
"[1, 14, 2, 1]",0
"[1, 15, 1, 1]",0
"[1, 15, 2, 1]",0
"[1, 16, 1, 1]",0
"[1, 16, 2, 1]",0
"[1, 17, 1, 1]",0
"[1, 17, 2, 1]",0
"[1, 18, 1, 1]",0
"[1, 18, 2, 1]",0
"[1, 22, 1, 1]",0
"[1, 22, 2, 1]",0
"[1, 23, 1, 1]",0
"[1, 23, 2, 1]",0
"[1, 24, 1, 1]",0
"[1, 24, 2, 1]",0
"[1, 25, 1, 1]",0
"[1, 25, 2, 1]",0
"[1, 27, 1, 1]",0
"[1, 27, 2, 1]",0
"[2, 2, 2, 1]",0
"[2, 4, 1, 1]",0
"[2, 4, 2, 1]",0
"[2, 5, 1, 1]",0
"[2, 5, 2, 1]",0
"[2, 6, 1, 1]",0
"[2, 6, 2, 1]",0
"[2, 7, 1, 1]",0
"[2, 7, 2, 1]",0
"[2, 11, 1, 1]",0
"[2, 11, 2, 1]",0
"[2, 12, 1, 1]",0
"[2, 12, 2, 1]",0
"[2, 13, 1, 1]",0
"[2, 13, 2, 1]",0
"[2, 14, 1, 1]",0
"[2, 14, 2, 1]",0
"[2, 15, 1, 1]",0
"[2, 15, 2, 1]",0
"[2, 16, 1, 1]",0
"[2, 16, 2, 1]",0
"[2, 17, 1, 1]",0
"[2, 17, 2, 1]",0
"[2, 18, 1, 1]",0
"[2, 18, 2, 1]",0
"[2, 22, 1, 1]",0
"[2, 22, 2, 1]",0
"[2, 23, 1, 1]",0
"[2, 23, 2, 1]",0
"[2, 24, 1, 1]",0
"[2, 24, 2, 1]",0
"[2, 25, 1, 1]",0
"[2, 25, 2, 1]",0
"[2, 25, 3, 1]",0
"[2, 27, 1, 1]",0
"[2, 27, 2, 1]",0
"[3, 2, 1, 1]",0
"[3, 2, 2, 1]",0
"[3, 4, 1, 1]",0
"[3, 4, 2, 1]",0
"[3, 5, 2, 1]",0
"[3, 6, 1, 1]",0
"[3, 6, 2, 1]",0
"[3, 7, 2, 1]",0
"[3, 12, 1, 1]",0
"[3, 12, 2, 1]",0
"[3, 13, 2, 1]",0
"[3, 15, 1, 1]",0
"[3, 15, 2, 1]",0
"[3, 16, 1, 1]",0
"[3, 16, 2, 1]",0
"[3, 17, 1, 1]",0
"[3, 17, 2, 1]",0
