"['[1, 1, 2, 0]']",[1.74944576]
"['[1, 1, 3, 0]']",[1.68796862]
"['[1, 2, 1, 0]']",[1.74014023]
"['[1, 2, 2, 0]']",[1.88670781]
"['[1, 4, 1, 0]']",[1.73837943]
"['[1, 4, 2, 0]']",[1.66325116]
"['[1, 4, 3, 0]']",[2.1021674]
"['[1, 4, 4, 0]']",[2.4854298]
"['[1, 5, 2, 0]']",[1.03226544]
"['[1, 5, 3, 0]']",[1.16001312]
"['[1, 5, 4, 0]']",[2.06689713]
"['[1, 5, 5, 0]']",[2.18928803]
"['[1, 5, 6, 0]']",[2.25055544]
"['[1, 6, 1, 0]']",[5.98768541]
"['[1, 6, 2, 0]']",[1.36156877]
"['[1, 6, 3, 0]']",[1.98823137]
"['[1, 6, 5, 0]']",[2.01771699]
"['[1, 6, 6, 0]']",[2.23409667]
"['[1, 10, 1, 0]']",[1.70128642]
"['[1, 10, 2, 0]']",[1.82228644]
"['[1, 10, 4, 0]']",[2.33905412]
"['[1, 10, 5, 0]']",[2.01393125]
"['[1, 10, 6, 0]']",[1.58032846]
"['[1, 11, 2, 0]']",[1.29742496]
"['[1, 11, 3, 0]']",[1.71688852]
"['[1, 11, 4, 0]']",[2.15777287]
"['[1, 11, 5, 0]']",[1.91416]
"['[1, 11, 6, 0]']",[2.42278595]
"['[1, 12, 1, 0]']",[0.92699849]
"['[1, 12, 2, 0]']",[2.45723521]
"['[1, 12, 3, 0]']",[1.2142502]
"['[1, 12, 4, 0]']",[2.32609592]
"['[1, 12, 5, 0]']",[2.19745511]
"['[1, 12, 6, 0]']",[2.26650506]
"['[1, 13, 1, 0]']",[1.66923458]
"['[1, 13, 2, 0]']",[1.64843501]
"['[1, 13, 3, 0]']",[1.94114731]
"['[1, 13, 4, 0]']",[1.89035189]
"['[1, 13, 5, 0]']",[2.03624993]
"['[1, 13, 6, 0]']",[2.10137512]
"['[1, 14, 1, 0]']",[0.93013272]
"['[1, 14, 2, 0]']",[1.46767688]
"['[1, 14, 6, 0]']",[1.61116945]
"['[1, 15, 1, 0]']",[1.80724185]
"['[1, 15, 2, 0]']",[1.3387519]
"['[1, 15, 3, 0]']",[6.31141616]
"['[1, 15, 4, 0]']",[1.6936766]
"['[1, 15, 5, 0]']",[1.68302659]
"['[1, 15, 6, 0]']",[1.61915137]
"['[1, 16, 1, 0]']",[1.98925414]
"['[1, 16, 2, 0]']",[1.4055438]
"['[1, 16, 3, 0]']",[2.8163411]
"['[1, 16, 4, 0]']",[2.10640217]
"['[1, 16, 5, 0]']",[1.77000172]
"['[1, 16, 6, 0]']",[2.02327023]
"['[1, 17, 1, 0]']",[1.34961197]
"['[1, 17, 2, 0]']",[1.8106914]
"['[1, 17, 3, 0]']",[1.44173937]
"['[1, 17, 4, 0]']",[1.70440236]
"['[1, 17, 5, 0]']",[2.0896616]
"['[1, 17, 6, 0]']",[1.63233383]
"['[1, 18, 4, 0]']",[2.85444614]
"['[1, 18, 5, 0]']",[1.97574984]
"['[1, 18, 6, 0]']",[1.55122843]
"['[1, 19, 2, 0]']",[1.60939831]
"['[1, 19, 4, 0]']",[1.91507026]
"['[1, 19, 5, 0]']",[1.78422285]
"['[1, 19, 6, 0]']",[1.89565828]
"['[1, 20, 1, 0]']",[1.14746316]
"['[1, 20, 2, 0]']",[1.78594661]
"['[1, 20, 3, 0]']",[1.46987643]
"['[1, 20, 4, 0]']",[1.83997105]
"['[1, 20, 5, 0]']",[1.81248876]
"['[1, 20, 6, 0]']",[1.46235192]
"['[1, 21, 1, 0]']",[1.32218845]
"['[1, 21, 2, 0]']",[7.35525321]
"['[1, 21, 3, 0]']",[2.22763794]
"['[1, 21, 4, 0]']",[1.59576779]
"['[1, 21, 5, 0]']",[2.05873923]
"['[1, 21, 6, 0]']",[2.16452165]
"['[1, 24, 1, 0]']",[1.72734457]
"['[1, 24, 2, 0]']",[1.36278634]
"['[1, 24, 3, 0]']",[1.77822913]
"['[1, 24, 4, 0]']",[1.9456974]
"['[1, 24, 5, 0]']",[2.70973315]
"['[1, 24, 6, 0]']",[2.28131839]
"['[1, 25, 1, 0]']",[1.06081648]
"['[1, 25, 2, 0]']",[1.39176421]
"['[1, 27, 1, 0]']",[0.76184129]
"['[1, 27, 2, 0]']",[1.17521418]
"['[2, 1, 1, 0]']",[1.68060074]
"['[2, 2, 1, 0]']",[6.85524409]
"['[2, 2, 2, 0]']",[1.56952953]
"['[2, 4, 1, 0]']",[1.6504155]
"['[2, 4, 2, 0]']",[1.07081536]
"['[2, 4, 3, 0]']",[1.64452766]
"['[2, 4, 4, 0]']",[1.53734917]
"['[2, 4, 5, 0]']",[1.7907484]
"['[2, 4, 6, 0]']",[1.49565823]
"['[2, 5, 1, 0]']",[1.80425377]
"['[2, 5, 2, 0]']",[1.07931137]
"['[2, 5, 3, 0]']",[2.22214561]
"['[2, 5, 4, 0]']",[6.23183245]
"['[2, 5, 5, 0]']",[1.33738978]
"['[2, 5, 6, 0]']",[1.85839739]
"['[2, 6, 1, 0]']",[1.55000778]
"['[2, 6, 2, 0]']",[1.24060661]
"['[2, 6, 3, 0]']",[2.24409532]
"['[2, 6, 4, 0]']",[1.79486495]
"['[2, 6, 5, 0]']",[2.18996957]
"['[2, 6, 6, 0]']",[2.28515677]
"['[2, 7, 1, 0]']",[1.42350938]
"['[2, 7, 2, 0]']",[1.24736547]
"['[2, 7, 3, 0]']",[1.0326893]
"['[2, 7, 4, 0]']",[1.06763678]
"['[2, 7, 5, 0]']",[1.6876284]
"['[2, 7, 6, 0]']",[2.07469737]
"['[2, 10, 1, 0]']",[1.09279441]
"['[2, 10, 2, 0]']",[1.07753978]
"['[2, 10, 3, 0]']",[1.60204304]
"['[2, 10, 4, 0]']",[1.959702]
"['[2, 10, 5, 0]']",[2.34884967]
"['[2, 10, 6, 0]']",[2.35876711]
"['[2, 11, 1, 0]']",[1.49021702]
"['[2, 11, 2, 0]']",[1.63135586]
"['[2, 11, 3, 0]']",[1.95122457]
"['[2, 11, 4, 0]']",[2.01557312]
"['[2, 11, 5, 0]']",[1.6460756]
"['[2, 11, 6, 0]']",[1.88917447]
"['[2, 12, 1, 0]']",[0.79212286]
"['[2, 12, 2, 0]']",[0.98907647]
"['[2, 12, 3, 0]']",[1.75197609]
"['[2, 12, 4, 0]']",[2.07523932]
"['[2, 12, 5, 0]']",[1.73188568]
"['[2, 12, 6, 0]']",[1.48614416]
"['[2, 13, 1, 0]']",[0.92169821]
"['[2, 13, 2, 0]']",[2.00560467]
"['[2, 13, 3, 0]']",[2.11140052]
"['[2, 13, 4, 0]']",[2.15319927]
"['[2, 13, 5, 0]']",[2.16030852]
"['[2, 13, 6, 0]']",[1.99376066]
"['[2, 14, 1, 0]']",[1.91453376]
"['[2, 14, 2, 0]']",[1.42300425]
"['[2, 14, 3, 0]']",[1.71973808]
"['[2, 15, 1, 0]']",[1.13748383]
"['[2, 15, 2, 0]']",[1.05126386]
"['[2, 15, 3, 0]']",[1.66946412]
"['[2, 15, 4, 0]']",[2.27453838]
"['[2, 15, 5, 0]']",[1.90180705]
"['[2, 15, 6, 0]']",[1.39779472]
"['[2, 16, 1, 0]']",[1.9059438]
"['[2, 16, 2, 0]']",[1.56347044]
"['[2, 16, 3, 0]']",[1.47018591]
"['[2, 16, 4, 0]']",[1.0289982]
"['[2, 16, 5, 0]']",[2.22271657]
"['[2, 16, 6, 0]']",[2.77198432]
"['[2, 17, 1, 0]']",[1.08547169]
"['[2, 17, 2, 0]']",[1.17351971]
"['[2, 17, 3, 0]']",[1.66123506]
"['[2, 17, 4, 0]']",[2.30850951]
"['[2, 17, 5, 0]']",[2.25019941]
"['[2, 17, 6, 0]']",[1.62332311]
"['[2, 18, 1, 0]']",[1.62072839]
"['[2, 18, 2, 0]']",[1.69432401]
"['[2, 18, 3, 0]']",[2.22417374]
"['[2, 18, 4, 0]']",[1.41962908]
"['[2, 18, 5, 0]']",[2.28993447]
"['[2, 18, 6, 0]']",[1.83378928]
"['[2, 19, 1, 0]']",[1.28232484]
"['[2, 19, 2, 0]']",[1.59810929]
"['[2, 19, 3, 0]']",[1.31485012]
"['[2, 19, 4, 0]']",[1.94508993]
"['[2, 19, 5, 0]']",[1.62598399]
"['[2, 19, 6, 0]']",[1.52578475]
"['[2, 20, 1, 0]']",[1.92406907]
"['[2, 20, 2, 0]']",[1.67170512]
"['[2, 20, 3, 0]']",[2.26769274]
"['[2, 20, 4, 0]']",[1.54905726]
"['[2, 20, 5, 0]']",[1.82895916]
"['[2, 20, 6, 0]']",[1.75169662]
"['[2, 21, 1, 0]']",[1.75711061]
"['[2, 21, 2, 0]']",[1.47995592]
"['[2, 21, 3, 0]']",[1.61983081]
"['[2, 21, 4, 0]']",[2.48058743]
"['[2, 21, 5, 0]']",[1.67440317]
