WeldID:	3526	WeldType nr:	1	WeldError	0	RincoStatus:	0x0	WeldEnd:	0x4	DisplAfterWeld:0.330	DisplAfterCool:0.420	FrameNumber: 09	StringerNumber: 03	SpotNumber: 02
20019501.000	3.158	0.000
20019502.000	3.158	0.000
20019503.000	3.158	0.000
20019504.000	3.158	0.000
20019505.000	3.158	0.000
20019506.000	3.158	0.000
20019507.000	3.160	0.000
20019508.000	3.160	0.000
20019509.000	3.160	0.000
20019510.000	3.160	0.000
20019511.000	3.160	0.000
20019512.000	3.160	0.000
20019513.000	3.160	0.000
20019514.000	3.160	0.000
20019515.000	3.160	0.000
20019516.000	3.160	0.000
20019517.000	3.160	0.000
20019518.000	3.160	0.000
20019519.000	3.160	0.000
20019520.000	3.160	0.000
20019521.000	3.160	0.000
20019522.000	3.160	0.000
20019523.000	3.160	0.000
20019524.000	3.160	0.000
20019525.000	3.160	0.000
20019526.000	3.160	0.000
20019527.000	3.164	0.000
20019528.000	3.164	0.000
20019529.000	3.164	0.000
20019530.000	3.164	0.000
20019531.000	3.164	0.000
20019532.000	3.164	0.000
20019533.000	3.164	0.000
20019534.000	3.164	0.000
20019535.000	3.164	0.000
20019536.000	3.164	0.000
20019537.000	3.162	0.000
20019538.000	3.162	0.000
20019539.000	3.162	0.000
20019540.000	3.162	0.000
20019541.000	3.162	0.000
20019542.000	3.162	0.000
20019543.000	3.162	0.000
20019544.000	3.162	0.000
20019545.000	3.162	0.000
20019546.000	3.162	0.000
20019547.000	3.153	0.000
20019548.000	3.153	0.000
20019549.000	3.153	0.000
20019550.000	3.153	0.000
20019551.000	3.153	0.000
20019552.000	3.153	0.000
20019553.000	3.153	0.000
20019554.000	3.153	0.000
20019555.000	3.153	0.000
20019556.000	3.153	0.000
20019557.000	3.153	0.000
20019558.000	3.153	0.000
20019559.000	3.153	0.000
20019560.000	3.153	0.000
20019561.000	3.153	0.000
20019562.000	3.153	0.000
20019563.000	3.153	0.000
20019564.000	3.153	0.000
20019565.000	3.153	0.000
20019566.000	3.153	0.000
20019567.000	3.155	0.000
20019568.000	3.155	0.000
20019569.000	3.155	0.000
20019570.000	3.155	0.000
20019571.000	3.155	0.000
20019572.000	3.155	0.000
20019573.000	3.155	0.000
20019574.000	3.155	0.000
20019575.000	3.155	0.000
20019576.000	3.155	0.000
20019577.000	3.150	0.000
20019578.000	3.150	0.000
20019579.000	3.150	0.000
20019580.000	3.150	0.000
20019581.000	3.150	0.000
20019582.000	3.150	0.000
20019583.000	3.150	0.000
20019584.000	3.150	0.000
20019585.000	3.150	0.000
20019586.000	3.150	0.000
20019587.000	3.155	0.000
20019588.000	3.155	0.000
20019589.000	3.155	0.000
20019590.000	3.155	0.000
20019591.000	3.155	0.000
20019592.000	3.155	0.000
20019593.000	3.155	0.000
20019594.000	3.155	0.000
20019595.000	3.155	0.000
20019596.000	3.155	0.000
20019597.000	3.159	0.000
20019598.000	3.159	0.000
20019599.000	3.159	0.000
20019600.000	3.159	0.000
20019601.000	3.159	0.000
20019602.000	3.159	0.000
20019603.000	3.159	0.000
20019604.000	3.159	0.000
20019605.000	3.159	0.000
20019606.000	3.159	0.000
20019607.000	3.161	0.000
20019608.000	3.161	0.000
20019609.000	3.161	0.000
20019610.000	3.161	0.000
20019611.000	3.161	0.000
20019612.000	3.161	0.000
20019613.000	3.161	0.000
20019614.000	3.161	0.000
20019615.000	3.161	0.000
20019616.000	3.161	0.000
20019617.000	3.162	0.000
20019618.000	3.162	0.000
20019619.000	3.162	0.000
20019620.000	3.162	0.000
20019621.000	3.162	0.010
20019622.000	3.162	0.010
20019623.000	3.162	0.010
20019624.000	3.162	0.010
20019625.000	3.162	0.010
20019626.000	3.162	0.010
20019627.000	3.149	0.010
20019628.000	3.149	0.010
20019629.000	3.149	0.010
20019630.000	3.149	0.010
20019631.000	3.149	0.010
20019632.000	3.149	0.010
20019633.000	3.149	0.010
20019634.000	3.149	0.010
20019635.000	3.149	0.010
20019636.000	3.149	0.010
20019637.000	3.147	0.010
20019638.000	3.147	0.010
20019639.000	3.147	0.010
20019640.000	3.147	0.010
20019641.000	3.147	0.010
20019642.000	3.147	0.010
20019643.000	3.147	0.010
20019644.000	3.147	0.010
20019645.000	3.147	0.010
20019646.000	3.147	0.010
20019647.000	3.161	0.010
20019648.000	3.161	0.010
20019649.000	3.161	0.010
20019650.000	3.161	0.010
20019651.000	3.161	0.010
20019652.000	3.161	0.010
20019653.000	3.161	0.010
20019654.000	3.161	0.010
20019655.000	3.161	0.010
20019656.000	3.161	0.010
20019657.000	3.162	0.010
20019658.000	3.162	0.010
20019659.000	3.162	0.010
20019660.000	3.162	0.010
20019661.000	3.162	0.010
20019662.000	3.162	0.010
20019663.000	3.162	0.010
20019664.000	3.162	0.010
20019665.000	3.162	0.010
20019666.000	3.162	0.010
20019667.000	3.173	0.010
20019668.000	3.173	0.010
20019669.000	3.173	0.010
20019670.000	3.173	0.010
20019671.000	3.173	0.010
20019672.000	3.173	0.010
20019673.000	3.173	0.010
20019674.000	3.173	0.010
20019675.000	3.173	0.010
20019676.000	3.173	0.010
20019677.000	3.160	0.010
20019678.000	3.160	0.010
20019679.000	3.160	0.010
20019680.000	3.160	0.010
20019681.000	3.160	0.010
20019682.000	3.160	0.010
20019683.000	3.160	0.010
20019684.000	3.160	0.010
20019685.000	3.160	0.010
20019686.000	3.160	0.010
20019687.000	3.158	0.010
20019688.000	3.158	0.010
20019689.000	3.158	0.010
20019690.000	3.158	0.010
20019691.000	3.158	0.010
20019692.000	3.158	0.010
