WeldID:	1947	WeldType nr:	0	WeldError	0	RincoStatus:	0x0	WeldEnd:	0x4	DisplAfterWeld:0.780	DisplAfterCool:0.830	FrameNumber: 03	StringerNumber: 13	SpotNumber: 06
8926501.000	2.885	0.000
8926502.000	2.885	0.000
8926503.000	2.885	0.000
8926504.000	2.885	0.000
8926505.000	2.885	0.000
8926506.000	2.885	0.000
8926507.000	2.885	0.000
8926508.000	2.885	0.000
8926509.000	2.885	0.000
8926510.000	2.885	0.000
8926511.000	2.871	0.000
8926512.000	2.871	0.000
8926513.000	2.871	0.000
8926514.000	2.871	0.000
8926515.000	2.871	0.000
8926516.000	2.871	0.000
8926517.000	2.871	0.000
8926518.000	2.871	0.010
8926519.000	2.871	0.010
8926520.000	2.871	0.010
8926521.000	2.882	0.010
8926522.000	2.882	0.010
8926523.000	2.882	0.010
8926524.000	2.882	0.010
8926525.000	2.882	0.010
8926526.000	2.882	0.010
8926527.000	2.882	0.010
8926528.000	2.882	0.010
8926529.000	2.882	0.010
8926530.000	2.882	0.010
8926531.000	2.880	0.010
8926532.000	2.880	0.010
8926533.000	2.880	0.010
8926534.000	2.880	0.020
8926535.000	2.880	0.020
8926536.000	2.880	0.020
8926537.000	2.880	0.020
8926538.000	2.880	0.020
8926539.000	2.880	0.020
8926540.000	2.880	0.020
8926541.000	2.880	0.020
8926542.000	2.880	0.020
8926543.000	2.880	0.030
8926544.000	2.880	0.030
8926545.000	2.880	0.030
8926546.000	2.880	0.030
8926547.000	2.880	0.030
8926548.000	2.880	0.030
8926549.000	2.880	0.040
8926550.000	2.880	0.040
8926551.000	2.885	0.040
8926552.000	2.885	0.040
8926553.000	2.885	0.050
8926554.000	2.885	0.050
8926555.000	2.885	0.050
8926556.000	2.885	0.060
8926557.000	2.885	0.060
8926558.000	2.885	0.070
8926559.000	2.885	0.070
8926560.000	2.885	0.080
8926561.000	2.874	0.080
8926562.000	2.874	0.090
8926563.000	2.874	0.090
8926564.000	2.874	0.100
8926565.000	2.874	0.100
8926566.000	2.874	0.110
8926567.000	2.874	0.110
8926568.000	2.874	0.120
8926569.000	2.874	0.120
8926570.000	2.874	0.130
8926571.000	2.868	0.130
8926572.000	2.868	0.140
8926573.000	2.868	0.140
8926574.000	2.868	0.140
8926575.000	2.868	0.150
8926576.000	2.868	0.150
8926577.000	2.868	0.160
8926578.000	2.868	0.160
8926579.000	2.868	0.170
8926580.000	2.868	0.170
8926581.000	2.860	0.170
8926582.000	2.860	0.180
8926583.000	2.860	0.180
8926584.000	2.860	0.180
8926585.000	2.860	0.190
8926586.000	2.860	0.190
8926587.000	2.860	0.200
8926588.000	2.860	0.200
8926589.000	2.860	0.200
8926590.000	2.860	0.210
8926591.000	2.868	0.210
8926592.000	2.868	0.210
8926593.000	2.868	0.220
8926594.000	2.868	0.220
